이름,팀,정렬 WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율 타율,비율 출루,비율 장타,비율 OPS,비율 wOBA,비율 wRC+(2022 전),비율 wRC+(2022),비율 wRC+(2023),WAR*,WPA
노시환,한화,6.93,131,595,514,85,153,30,1,31,278,101,2,1,74,4,5,118,13,0,3,0.298,0.388,0.541,0.929,0.418,146.2,146.2,159.3,6.93,4.25
김혜성,키움,6.19,137,621,556,104,186,29,6,7,248,57,25,3,57,3,3,77,6,0,5,0.335,0.396,0.446,0.842,0.392,140.3,140.3,142.1,6.19,2.5
최정,SSG,5.78,128,552,471,94,140,31,0,29,258,87,7,3,59,15,6,87,12,1,6,0.297,0.388,0.548,0.936,0.418,,,155.8,5.78,2.8
양의지,두산,5.4,129,509,438,56,134,23,0,17,208,68,8,0,57,11,8,56,20,0,3,0.306,0.397,0.475,0.872,0.399,119.2,119.2,151.9,5.4,0.59
오스틴,LG,5.22,139,583,520,87,163,29,4,23,269,95,7,3,53,3,2,75,11,0,7,0.313,0.376,0.517,0.893,0.405,107.1,107.1,154.4,5.22,2.92
홍창기,LG,5.17,141,643,524,109,174,35,2,1,216,65,23,23,88,22,3,83,6,3,6,0.332,0.444,0.412,0.856,0.407,137,137,152,5.17,4.72
구자욱,삼성,4.78,119,515,453,65,152,37,1,11,224,71,12,4,53,4,2,81,5,2,3,0.336,0.407,0.494,0.902,0.414,105.7,105.7,153.2,4.78,3.58
소크라테스,KIA,4.58,142,608,547,91,156,31,3,20,253,96,15,6,52,1,4,80,13,0,8,0.285,0.344,0.463,0.806,0.366,151.9,151.9,125.7,4.58,1.92
손아섭,NC,4.39,140,609,551,97,187,36,3,5,244,65,14,3,50,2,2,67,10,1,5,0.339,0.393,0.443,0.836,0.39,138.3,138.3,140,4.39,2.67
박건우,NC,4.25,130,533,458,70,146,34,2,12,220,85,7,5,56,9,0,71,14,1,9,0.319,0.397,0.48,0.877,0.403,,,148,4.25,2.5
문보경,LG,4.13,131,542,469,77,141,29,5,10,210,72,9,9,58,2,2,83,5,9,4,0.301,0.377,0.448,0.825,0.376,101,101,132.4,4.13,1.7
에레디아,SSG,4.12,122,523,473,76,153,29,0,12,218,76,12,8,39,9,4,75,13,1,1,0.323,0.385,0.461,0.846,0.391,85.3,85.3,140.7,4.12,3.78
박민우,NC,4.05,124,509,452,76,143,20,7,2,183,46,26,7,40,9,3,57,13,5,3,0.316,0.381,0.405,0.786,0.366,138.6,138.6,124.2,4.05,1.52
정수빈,두산,3.89,137,583,498,75,143,14,11,2,185,33,39,8,64,7,1,63,2,12,2,0.287,0.375,0.371,0.746,0.349,103.6,103.6,111,3.89,1.33
오지환,LG,3.89,126,502,422,65,113,24,3,8,167,62,16,7,64,8,0,82,4,4,4,0.268,0.372,0.396,0.767,0.36,182.5,182.5,121.9,3.89,1.95
강민호,삼성,3.8,125,495,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,0.29,0.366,0.445,0.811,0.373,88.1,88.1,124.6,3.8,1.34
이정후,키움,3.7,86,387,330,50,105,23,2,6,150,45,6,3,49,3,7,23,1,0,5,0.318,0.406,0.455,0.86,0.395,95,95,143.8,3.7,1.04
김도영,KIA,3.7,84,385,340,72,103,20,5,7,154,47,25,4,38,1,1,62,14,2,4,0.303,0.371,0.453,0.824,0.378,88.1,88.1,133.4,3.7,0.35
박찬호,KIA,3.69,130,507,452,73,136,18,4,3,171,52,30,8,40,2,0,56,13,7,6,0.301,0.356,0.378,0.734,0.342,123.3,123.3,108.4,3.69,1.25
나성범,KIA,3.69,58,253,222,51,81,12,1,18,149,57,0,0,26,1,0,36,1,0,4,0.365,0.427,0.671,1.098,0.485,121.3,121.3,208.2,3.69,2.26
최형우,KIA,3.68,121,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.4,0.487,0.887,0.409,,,153.8,3.68,4.06
전준우,롯데,3.6,138,559,493,80,154,21,3,17,232,77,9,2,52,7,4,65,12,0,7,0.312,0.381,0.471,0.852,0.391,111.5,111.5,140.8,3.6,2.65
마틴,NC,3.48,118,503,435,55,123,20,2,17,198,90,15,3,57,1,2,107,8,0,10,0.283,0.36,0.455,0.815,0.373,103.9,103.9,126.5,3.48,1
박동원,LG,3.41,130,481,409,54,102,17,1,20,181,75,0,1,49,7,3,90,7,8,8,0.249,0.334,0.443,0.777,0.348,139.7,139.7,116,3.41,1.09
장성우,KT,3.35,131,464,410,37,118,22,0,11,173,65,1,1,42,2,1,70,12,3,7,0.288,0.351,0.422,0.773,0.356,99.6,99.6,114.6,3.35,0.19
알포드,KT,3.28,133,547,491,83,142,31,3,15,224,70,17,4,47,6,1,140,6,0,3,0.289,0.357,0.456,0.813,0.375,,,126.9,3.28,0.61
황재균,KT,3.18,109,457,407,62,120,26,2,6,168,49,3,3,45,1,1,64,15,3,1,0.295,0.366,0.413,0.778,0.363,136,136,119.2,3.18,1.89
로하스,두산,3.04,122,464,403,52,102,24,4,19,191,65,0,1,55,3,2,68,5,0,3,0.253,0.345,0.474,0.819,0.372,117.2,117.2,134.3,3.04,1.21
문성주,LG,2.98,136,534,449,77,132,21,4,2,167,57,24,14,67,8,0,34,10,6,4,0.294,0.392,0.372,0.764,0.363,87.4,87.4,122.3,2.98,0.59
안치홍,롯데,2.85,121,494,425,57,124,20,1,8,170,63,3,3,49,10,3,53,14,5,5,0.292,0.374,0.4,0.774,0.36,116.6,116.6,119.1,2.85,1.97
최재훈,한화,2.8,125,417,327,23,81,12,0,1,96,33,1,1,56,23,1,48,9,9,2,0.248,0.392,0.294,0.686,0.338,113,113,104.7,2.8,0.28
박성한,SSG,2.8,128,529,459,53,122,19,0,9,168,47,4,1,58,1,1,56,7,7,4,0.266,0.347,0.366,0.713,0.334,129.2,129.2,101.8,2.8,1.53
양석환,두산,2.65,140,581,524,73,147,28,0,21,238,89,4,0,40,6,2,133,9,0,11,0.281,0.332,0.454,0.786,0.358,,,124.1,2.65,1.64
채은성,한화,2.64,137,596,521,71,137,17,0,23,223,84,0,0,52,20,8,102,16,0,3,0.263,0.351,0.428,0.779,0.358,109.6,109.6,118.6,2.64,2.17
이주형,키움,2.6,69,243,215,32,70,13,4,6,109,36,3,1,19,5,2,53,4,2,2,0.326,0.39,0.507,0.897,0.405,93.2,93.2,151.8,2.6,1.39
김선빈,KIA,2.59,119,472,418,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.321,0.382,0.359,0.74,0.351,169.3,169.3,113,2.59,1.24
김지찬,삼성,2.51,99,355,291,59,85,4,2,1,96,18,13,1,48,9,0,36,1,7,0,0.292,0.408,0.33,0.738,0.358,,,116.8,2.51,0.3
피렐라,삼성,2.44,139,605,557,66,159,28,1,16,237,80,6,4,42,4,5,69,20,0,2,0.285,0.339,0.425,0.764,0.352,147.8,147.8,110.8,2.44,0.03
도슨,키움,2.44,57,261,229,37,77,14,2,3,104,29,9,2,18,9,0,41,3,0,5,0.336,0.399,0.454,0.853,0.397,94.9,94.9,145.3,2.44,1.23
박병호,KT,2.39,132,493,431,53,122,15,0,18,191,87,2,0,46,8,2,114,9,0,8,0.283,0.357,0.443,0.8,0.368,75.2,75.2,122.7,2.39,2.79
유강남,롯데,2.3,121,403,352,45,92,13,0,10,135,55,1,1,37,8,1,64,13,2,4,0.261,0.342,0.384,0.725,0.339,93.6,93.6,106.1,2.3,0.65
김상수,KT,2.29,129,512,443,58,120,19,1,3,150,56,5,6,55,3,0,68,9,8,3,0.271,0.353,0.339,0.692,0.329,87.4,87.4,96,2.29,-0.21
김휘집,키움,2.26,110,435,369,46,92,22,0,8,138,51,0,0,48,5,0,97,8,6,7,0.249,0.338,0.374,0.712,0.331,125.1,125.1,101.9,2.26,-0.79
권희동,NC,2.16,96,373,309,33,88,16,0,7,125,63,2,0,49,6,0,50,4,4,5,0.285,0.388,0.405,0.792,0.371,119.6,119.6,126.3,2.16,1.25
노진혁,롯데,2.15,113,390,334,43,86,26,1,4,126,51,7,2,45,3,1,84,3,4,4,0.257,0.347,0.377,0.724,0.338,120.8,120.8,103,2.15,2.31
허경민,두산,2.08,130,475,429,44,114,22,1,7,159,48,9,3,35,6,3,26,6,0,5,0.266,0.326,0.371,0.697,0.326,,,98.9,2.08,-0.83
최지훈,SSG,2.03,117,503,462,65,124,19,8,2,165,30,21,2,29,3,0,50,3,8,1,0.268,0.315,0.357,0.672,0.312,106.9,106.9,90.5,2.03,-1.13
하재훈,SSG,2.02,77,229,201,35,61,10,1,7,94,35,11,0,19,5,1,53,0,2,2,0.303,0.374,0.468,0.842,0.384,129.8,129.8,135.2,2.02,0.51
이우성,KIA,1.99,126,400,355,39,107,17,0,8,148,58,8,1,31,5,4,81,10,6,3,0.301,0.363,0.417,0.78,0.356,100.7,100.7,118.3,1.99,1.56
추신수,SSG,1.96,112,462,382,65,96,17,1,12,151,40,6,4,65,13,1,79,8,0,2,0.251,0.377,0.395,0.772,0.367,71.1,71.1,123,1.96,0.89
김주원,NC,1.96,127,474,403,56,94,9,2,10,137,54,15,3,44,15,1,106,6,8,4,0.233,0.328,0.34,0.668,0.314,103.9,103.9,88.1,1.96,-0.27
이진영,한화,1.93,121,422,358,57,89,22,0,10,141,50,5,0,53,2,0,127,4,4,5,0.249,0.345,0.394,0.738,0.343,142.7,142.7,108.8,1.93,1.58
박해민,LG,1.92,144,558,485,80,138,14,2,6,174,59,26,12,45,3,0,74,7,24,1,0.285,0.348,0.359,0.707,0.323,59,59,95.7,1.92,-0.26
김민혁,KT,1.88,113,448,397,68,118,20,3,3,153,41,11,4,36,3,0,48,4,7,5,0.297,0.356,0.385,0.741,0.344,55.6,55.6,106.9,1.88,0.91
이재현,삼성,1.85,143,538,458,61,114,19,2,12,173,60,5,4,52,6,0,89,9,16,6,0.249,0.33,0.378,0.707,0.323,60.6,60.6,91.8,1.85,0.57
박승욱,롯데,1.83,123,338,290,37,83,18,3,0,107,30,15,4,35,1,0,87,5,11,1,0.286,0.364,0.369,0.733,0.339,52,52,101.9,1.83,0.45
김재호,두산,1.83,91,302,248,32,70,13,0,3,92,29,4,0,30,8,2,24,11,14,2,0.282,0.375,0.371,0.746,0.339,96.7,96.7,107,1.83,0.57
서호철,NC,1.78,114,435,397,50,114,17,3,5,152,41,4,5,20,8,0,51,9,6,4,0.287,0.331,0.383,0.714,0.33,145.1,145.1,99.9,1.78,0.15
배정대,KT,1.77,97,361,311,48,86,16,0,2,108,38,13,3,38,3,1,76,2,4,5,0.277,0.356,0.347,0.703,0.332,117.2,117.2,98,1.77,1.15
김현수,LG,1.69,133,556,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.35,100.5,100.5,114.1,1.69,1.61
이창진,KIA,1.66,104,284,244,35,66,11,3,4,95,29,9,2,34,2,1,44,6,2,2,0.27,0.362,0.389,0.751,0.351,79.1,79.1,115,1.66,-0.32
강승호,두산,1.66,127,458,418,51,111,18,6,7,162,59,13,6,27,6,0,109,12,4,3,0.266,0.317,0.388,0.705,0.326,72.9,72.9,97.9,1.66,0.63
최주환,SSG,1.62,134,478,426,48,100,24,0,20,184,63,0,0,43,5,4,94,6,1,3,0.235,0.31,0.432,0.742,0.337,134.9,134.9,101.4,1.62,1.6
김성윤,삼성,1.61,101,272,245,40,77,4,6,2,99,28,20,4,14,4,0,35,2,4,5,0.314,0.355,0.404,0.759,0.349,,,109.7,1.61,0.82
한유섬,SSG,1.59,109,388,333,29,91,15,2,7,131,55,2,1,34,12,1,81,3,2,7,0.273,0.355,0.393,0.748,0.349,107.8,107.8,112.5,1.59,1.14
문현빈,한화,1.55,137,481,428,47,114,22,2,5,155,49,5,1,33,6,2,84,7,9,5,0.266,0.324,0.362,0.686,0.316,58.6,58.6,90.8,1.55,-0.21
류지혁,KIA,1.38,132,522,455,63,122,11,1,2,141,45,26,2,46,6,1,73,12,10,5,0.268,0.34,0.31,0.65,0.309,75,,84.4,1.38,-1.92
도태훈,NC,1.36,117,302,239,41,56,6,0,5,77,23,2,1,38,17,1,48,8,7,1,0.234,0.376,0.322,0.698,0.337,88.1,88.1,103.4,1.36,-0.31
러셀,키움,1.36,59,239,220,20,63,11,1,4,88,42,1,0,17,1,1,39,5,0,1,0.286,0.339,0.4,0.739,0.345,,,110.6,1.36,1.45
송성문,키움,1.33,104,438,388,43,102,16,3,5,139,60,1,0,39,0,5,38,9,4,7,0.263,0.325,0.358,0.683,0.314,73.4,73.4,89.2,1.33,-0.21
구드럼,롯데,1.33,50,201,173,16,51,14,1,0,67,28,0,0,23,1,1,46,6,0,4,0.295,0.373,0.387,0.76,0.357,105.5,105.5,114.6,1.33,0.06
정훈,롯데,1.3,80,233,201,40,56,14,0,6,88,31,2,0,26,0,1,39,4,4,2,0.279,0.358,0.438,0.796,0.361,61.8,61.8,120.4,1.3,0.48
김현준,삼성,1.26,109,479,433,62,119,10,6,3,150,46,5,5,30,5,0,84,5,8,3,0.275,0.327,0.346,0.673,0.315,24.1,24.1,87.1,1.26,0.31
김민성,LG,1.21,112,316,273,34,68,11,0,8,103,41,2,1,25,7,0,58,7,9,2,0.249,0.326,0.377,0.703,0.322,,,96.9,1.21,-1.44
정보근,롯데,1.19,55,101,81,11,27,6,1,1,38,13,1,0,14,1,0,13,2,4,1,0.333,0.433,0.469,0.902,0.405,87.7,,147.4,1.19,0.47
김민석,롯데,1.01,129,454,400,53,102,24,0,3,135,39,16,3,31,6,1,112,6,12,5,0.255,0.315,0.338,0.652,0.301,,,77.7,1.01,-2.04
최인호,한화,1,41,148,131,23,39,5,3,2,56,11,1,0,10,4,0,22,2,2,1,0.298,0.363,0.427,0.791,0.364,53.9,53.9,124.5,1,0.33
윤동희,롯데,0.95,107,423,387,45,111,18,1,2,137,41,3,6,28,1,0,69,10,2,5,0.287,0.333,0.354,0.687,0.324,80.4,80.4,93,0.95,-1.05
김성현,SSG,0.95,112,354,310,35,83,14,0,1,100,27,4,1,29,0,1,36,6,13,2,0.268,0.328,0.323,0.651,0.3,110.4,110.4,81,0.95,-0.94
박세혁,NC,0.92,88,283,242,35,51,9,3,6,84,32,1,1,30,4,0,43,3,6,1,0.211,0.307,0.347,0.654,0.304,91.2,91.2,80.2,0.92,-1.37
고종욱,KIA,0.91,114,286,270,35,80,17,0,3,106,39,2,2,14,0,0,58,3,0,2,0.296,0.329,0.393,0.721,0.337,118.2,118.2,104.3,0.91,0.48
임지열,키움,0.85,72,246,212,22,55,8,0,5,78,35,1,0,28,3,0,64,3,2,1,0.259,0.353,0.368,0.72,0.341,130.7,130.7,109.5,0.85,0.93
정은원,한화,0.84,122,459,388,50,86,12,0,2,104,30,6,3,62,3,1,73,4,5,1,0.222,0.333,0.268,0.601,0.296,20.5,20.5,76.8,0.84,-1.3
김재환,두산,0.83,132,484,405,40,89,15,0,10,134,46,3,1,72,5,4,100,8,0,2,0.22,0.343,0.331,0.674,0.324,67.7,67.7,98.4,0.83,1.41
이도윤,한화,0.82,106,346,309,36,78,13,2,1,98,13,11,3,18,4,1,55,6,15,0,0.252,0.302,0.317,0.619,0.282,88.8,88.8,68.1,0.82,-1.72
이호연,KT,0.79,85,234,212,28,59,5,1,3,75,17,4,2,16,4,0,41,6,1,1,0.278,0.339,0.354,0.693,0.329,89.1,89.1,96.5,0.79,0.78
강백호,KT,0.76,71,271,238,32,63,10,1,8,99,39,3,0,31,0,4,55,1,0,2,0.265,0.347,0.416,0.763,0.35,,,110.7,0.76,-0.53
김태연,한화,0.75,91,280,245,25,64,13,0,4,89,26,5,1,27,3,1,59,3,1,4,0.261,0.337,0.363,0.7,0.329,108.3,108.3,99.2,0.75,0.03
김동헌,키움,0.74,102,242,211,22,51,5,2,2,66,17,0,0,17,8,0,55,7,3,3,0.242,0.318,0.313,0.631,0.301,,,80.4,0.74,-1.18
안권수,롯데,0.74,95,309,268,42,72,6,1,2,86,29,16,7,30,1,1,40,4,7,3,0.269,0.341,0.321,0.662,0.311,124.9,,85.3,0.74,-0.29
박수종,키움,0.73,23,50,45,7,19,1,2,0,24,3,0,0,3,1,0,6,1,0,1,0.422,0.46,0.533,0.993,0.458,108.6,,184.6,0.73,0.2
김형준,NC,0.71,26,82,72,10,17,2,0,6,37,13,0,0,8,1,0,24,3,1,0,0.236,0.321,0.514,0.835,0.371,97.2,,123.1,0.71,0.17
최원준,KIA,0.69,67,274,238,37,60,11,2,1,78,23,13,5,31,0,0,39,5,5,0,0.252,0.338,0.328,0.666,0.316,65.5,,90.2,0.69,0.53
신민재,LG,0.68,122,331,282,47,78,5,2,0,87,28,37,17,29,1,0,34,5,17,2,0.277,0.344,0.309,0.653,0.301,90.8,,79.3,0.68,0.95
김성욱,NC,0.6,93,204,179,28,40,10,0,6,68,16,6,1,16,5,0,63,7,3,1,0.223,0.304,0.38,0.683,0.315,78.9,78.9,87.5,0.6,-0.52
한준수,KIA,0.49,48,94,86,9,22,4,0,2,32,12,0,0,7,0,0,26,2,1,0,0.256,0.312,0.372,0.684,0.318,88.2,,92.2,0.49,-0.43
박준영,두산,0.48,51,138,127,16,28,7,2,4,51,17,2,1,9,2,1,53,0,0,0,0.22,0.283,0.402,0.684,0.312,79.9,79.9,90.5,0.48,0.76
임병욱,키움,0.47,80,223,208,30,54,11,1,6,85,36,4,0,10,1,0,75,1,1,3,0.26,0.293,0.409,0.701,0.32,51.6,51.6,95.5,0.47,-0.59
오선진,한화,0.46,90,199,165,17,38,6,0,0,44,15,2,0,24,5,0,34,7,3,2,0.23,0.342,0.267,0.609,0.301,,,79.8,0.46,-0.29
이유찬,두산,0.45,103,239,210,31,51,7,2,1,65,16,12,5,20,3,0,51,0,5,1,0.243,0.316,0.31,0.626,0.296,,,76.1,0.45,-0.58
